,namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes,ADDRESS,location,point,latitude,longitude
38,RPTRA PULAU TIDUNG,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
39,RPTRA PULAU TIDUNG,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
40,RPTRA PULAU TIDUNG,2021-07-12T10:00:00,2021-07-12T10:00:00.000Z,7/12/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
41,SDN PULAU KELAPA 01 PAGI,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
42,SDN PULAU KELAPA 01 PAGI,2021-07-12T10:00:00,2021-07-12T10:00:00.000Z,7/12/2021,10:00:00,100,99,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
43,RPTRA PULAU TIDUNG,2021-07-12T09:00:00,2021-07-12T09:00:00.000Z,7/12/2021,9:00:00,100,99,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
44,PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,99,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated,"PUSKESMAS KELURAHAN PETOJO SELATAN,GAMBIR,JAKARTA,INDONESIA","Puskesmas Kelurahan Petojo Selatan, Jalan Taman Tanah Abang III, RW 04, Petojo Selatan, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10160, Indonesia","(-6.17687555, 106.8144249, 0.0)",-6.17687555,106.8144249
45,SDN PULAU KELAPA 01 PAGI,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,99,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
46,GOR MANGGA DUA SELATAN,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,98,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated,"GOR MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
47,RPTRA PULAU TIDUNG,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,98,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
